epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,4208.53,0.6603,0.38483,1.06456,0.99378,0.98976,0.99343,0.87127,0.54534,0.27305,0.99204,0.0001685,0.0001685,0.0001685
187,4230.28,0.665,0.38603,1.06299,0.99443,0.98976,0.99314,0.86898,0.54406,0.27331,0.98879,0.0001586,0.0001586,0.0001586
188,4251.99,0.65611,0.37825,1.06146,0.99449,0.98976,0.99395,0.8698,0.54305,0.27157,0.98944,0.0001487,0.0001487,0.0001487
189,4273.71,0.65812,0.37723,1.05182,0.99424,0.98976,0.99364,0.87729,0.54382,0.27288,0.99066,0.0001388,0.0001388,0.0001388
190,4295.25,0.65483,0.37822,1.05647,0.99422,0.98976,0.99386,0.87713,0.5374,0.27029,0.98557,0.0001289,0.0001289,0.0001289
191,4342.54,0.52316,0.2927,1.00542,0.9931,0.9826,0.99396,0.86041,0.55792,0.27902,0.99839,0.000119,0.000119,0.000119
192,4364.73,0.51374,0.28205,0.99653,0.98901,0.98805,0.99434,0.86339,0.55681,0.27554,0.99597,0.0001091,0.0001091,0.0001091
193,4386.38,0.50104,0.28,0.98721,0.98806,0.98823,0.99448,0.86572,0.5553,0.27472,0.99409,9.92e-05,9.92e-05,9.92e-05
194,4408.09,0.48904,0.26503,0.97861,0.99312,0.98487,0.99461,0.86668,0.55743,0.27732,0.99623,8.93e-05,8.93e-05,8.93e-05
195,4429.89,0.48368,0.2601,0.9808,0.99256,0.98805,0.99455,0.86803,0.54715,0.2707,0.98701,7.94e-05,7.94e-05,7.94e-05
196,4451.74,0.49238,0.26192,0.97847,0.99144,0.98874,0.99381,0.86691,0.54764,0.27153,0.98685,6.95e-05,6.95e-05,6.95e-05
197,4473.8,0.47803,0.25673,0.97476,0.99121,0.98976,0.99363,0.8663,0.54611,0.27005,0.99031,5.96e-05,5.96e-05,5.96e-05
198,4495.45,0.47518,0.25788,0.97782,0.99252,0.98976,0.9937,0.87219,0.53766,0.26655,0.98374,4.97e-05,4.97e-05,4.97e-05
199,4517.24,0.4699,0.257,0.97162,0.99287,0.98976,0.99343,0.87266,0.53759,0.26475,0.98356,3.98e-05,3.98e-05,3.98e-05
200,4538.64,0.47923,0.25404,0.98069,0.99255,0.98976,0.99337,0.87398,0.54056,0.26693,0.98654,2.99e-05,2.99e-05,2.99e-05
